"","season","region","beta","eta","mu","sigma1","sigma2","kappa"
"464",2016,"Oklahoma",-5.34290240864807,1.19643254346512,27.5062444964192,2.38114258580649,2.04267346350203,569.640158844105
"465",2017,"Oklahoma",-5.90469702990292,1.26560065103776,25.0994461387132,2.46639953953014,2.05179088897476,506.700743824729
"466",2018,"Oklahoma",-5.1400107844348,1.04953194189376,28.7964668663968,2.41854488724227,1.86515082525917,195.626523162971
"467",2019,"Oklahoma",-5.47235612436464,1.18301754418705,29.1348512339239,2.65322204797751,2.17122266386848,738.587206205102
"468",2020,"Oklahoma",-5.14871511711435,0.50053246105193,15.6896721092717,1.62964474229361,2.42672445056353,560.363943520877
"469",2021,"Oklahoma",-4.68919157804745,0.300068936535399,32.1190632841288,2.78364981323957,1.8661303416107,454.284748982248
"470",2022,"Oklahoma",-4.44903417969512,0.666327127349727,17.1332242233617,1.26080352907115,2.09978041298518,578.360347612911
"471",2010,"Oregon",-5.21626867301335,0.30870729733478,17.3828841765321,1.94274440477514,2.38360875046701,1794.4764756069
"472",2011,"Oregon",-5.40837276550354,0.323288042620125,32.8008461923543,2.66945585109749,1.72447424052667,859.253480705465
"473",2012,"Oregon",-5.91130218633584,0.940364523343083,26.3797083582508,2.19320004093931,1.66226547125884,463.036376685057
"474",2013,"Oregon",-6.93193117337012,1.13445108449691,21.9598973344356,1.97206928631401,2.68177396198753,276.141358803111
"475",2014,"Oregon",-9.37339824921662,1.63687994856444,23.0059438514244,2.77128542191592,3.04732753525632,443.324081532657
"476",2015,"Oregon",-8.37359778535479,1.58204912586866,31.6607297423649,3.02577021540135,2.14743008081248,252.359724607106
"477",2016,"Oregon",-9.07874380441239,1.72712359525502,22.4154520008218,2.49350896218216,3.15038469363841,459.324768554402
"478",2017,"Oregon",-5.60610651977842,0.931867070682075,23.2893366705432,2.03890652783142,2.46960228595506,1295.01327349125
"479",2018,"Oregon",-5.12283903380016,0.620938075650241,32.1761422735533,2.36073431897114,1.38741201948331,1705.58126451637
"480",2019,"Oregon",-4.88747551476548,0.664850869943429,32.8024401980671,2.62630218251612,1.31062314450421,456.225216941857
"481",2020,"Oregon",-4.96367621175988,-0.189177704754376,15.4632762054521,1.87008958710192,1.61913571957113,4648.04584020654
"482",2021,"Oregon",-5.28274393745408,0.121920668205969,15.7861213649863,21.3481006416125,3.72732516967502,766.214975330581
"483",2022,"Oregon",-4.53697488581055,0.569909320031627,16.785050056698,0.823596883513754,1.49890764608958,1385.71533208845
"484",2010,"Pennsylvania",-4.87497471197006,0.487586717102388,18.7303799864673,1.78631264738298,1.80694089941519,3277.85846163862
