"","reference_date","horizon","target","target_end_date","location","output_type","output_type_id","value"
"170",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.35,-1.90301647017676
"171",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.4,-0.131202939996684
"172",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.45,1.61320228266612
"173",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.5,3.34428843349826
"174",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.55,4.99456653081292
"175",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.6,6.75454245125165
"176",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.65,8.51953146130701
"177",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.7,10.3866573229877
"178",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.75,12.4673894371202
"179",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.8,14.718007684399
"180",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.85,17.3571598620361
"181",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.9,20.6801779223665
"182",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.95,25.6818226361957
"183",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.975,29.8993618509325
"184",2023-12-09,3,"wk inc flu hosp",2023-12-30,"02","quantile",0.99,34.6221644361548
"185",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.01,190.016116541916
"186",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.025,209.728435161215
"187",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.05,226.386965921385
"188",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.1,245.024891622545
"189",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.15,257.572980606271
"190",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.2,267.333241893069
"191",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.25,276.430775784678
"192",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.3,284.27529086263
"193",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.35,291.672277981108
"194",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.4,298.581288799196
"195",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.45,305.134041226417
"196",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.5,311.811073167305
"197",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.55,318.304120242238
"198",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.6,325.115629217365
"199",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.65,332.038975764194
"200",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.7,339.051963247973
"201",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.75,347.069809351559
"202",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.8,355.838432757117
"203",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.85,366.008041537212
"204",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.9,378.483319553378
"205",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.95,397.447154398925
"206",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.975,413.974180363901
"207",2023-12-09,0,"wk inc flu hosp",2023-12-09,"04","quantile",0.99,431.463340917622
"208",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.01,15.2598153222556
"209",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.025,54.797719826859
"210",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.05,90.9342682455009
"211",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.1,131.503303007835
"212",2023-12-09,1,"wk inc flu hosp",2023-12-16,"04","quantile",0.15,159.525976690478
